time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem,val_loss
0.11768531799316406,0.05,0.03,0.42200000000000004,0.9590000000000001,0.525951087474823
0.08876252174377441,0.11,0.03,0.516,0.9590000000000001,0.5394916534423828
0.1077117919921875,0.11,0.02,0.48200000000000004,0.9590000000000001,0.5216339230537415
0.09873628616333008,0.06,0.02,0.615,0.9590000000000001,0.5248637795448303
0.6572418212890625,0.73,0.25,0.141,0.9590000000000001,0.5223715305328369
0.08676767349243164,0.06,0.02,0.43799999999999994,0.963,0.23749126493930817
0.09474682807922363,0.06,0.02,0.509,0.963,0.21921147406101227
0.09574437141418457,0.06,0.02,0.5,0.963,0.21889013051986694
0.1107034683227539,0.11,0.03,0.47200000000000003,0.9620000000000001,0.22978849709033966
0.08477258682250977,0.11,0.03,0.45799999999999996,0.9620000000000001,0.21381688117980957
0.08776354789733887,0.15,0.03,0.49,0.963,0.11558302491903305
0.09275174140930176,0.06,0.02,0.48200000000000004,0.963,0.12336002290248871
0.07878971099853516,0.06,0.03,0.56,0.963,0.12317506223917007
0.07978677749633789,0.11,0.03,0.542,0.963,0.1266569346189499
0.08676862716674805,0.09,0.02,0.526,0.963,0.12978914380073547
0.1186821460723877,0.01,0.02,0.609,0.963,0.07797187566757202
0.11369609832763672,0.11,0.03,0.639,0.963,0.07612642645835876
0.12067723274230957,0.06,0.02,0.639,0.963,0.07779378443956375
0.12167477607727051,0.06,0.02,0.667,0.9640000000000001,0.07214411348104477
0.12466692924499512,0.06,0.02,0.75,0.9640000000000001,0.07661021500825882
0.08676815032958984,0.16,0.03,0.446,0.961,0.054487425833940506
0.09374880790710449,0.06,0.02,0.5,0.961,0.05447769910097122
0.09075641632080078,0.11,0.03,0.48200000000000004,0.9620000000000001,0.0532805509865284
0.08976030349731445,0.11,0.03,0.561,0.961,0.055541981011629105
0.0967411994934082,0.07,0.02,0.5539999999999999,0.961,0.04384441673755646
